SUC DESTINO;SKU;# TRANSF;DESCRIPTION;FECHA;SHIP;SHIP.1
IÑAQUITO;154103011;1513238;OLÉ TOTOPOS TORTILLA DE MAÍZ NATURAL 300g;31/3/2026;12;1,00
IÑAQUITO;27286;1513238;AJI-NO-MOTO SAZONADOR FUNDA 100 GR.;31/3/2026;15;0,08
IÑAQUITO;183705011;1513238;SAHARA SHAMPOO SIN SAL CEBOLLA 1L;31/3/2026;12;1,00
IÑAQUITO;84242;1513238;TIPS AMBIENTAL PASTILLA CAMPOS DE JAZMIN 95 GR.;31/3/2026;24;1,00
IÑAQUITO;201454922;1513238;LA VAQUITA LECHE ENTERA UHT FOURPACK 1LT;31/3/2026;2;1,00
IÑAQUITO;78050;1513238;LISTERINE ENJUAGUE BUCAL ZERO 500 ML.;31/3/2026;12;1,00
IÑAQUITO;137752941;1513238;ELITE PAPEL HIGIENICO MANZANILLA 35M X4/12;31/3/2026;12;1,00
IÑAQUITO;133901232;1513238;GOLDERY REPUESTO DE  FILM 100 METROS;31/3/2026;24;1,00
IÑAQUITO;158952941;1513238;NIVEA CREMA CORPORAL MILK NUTRITIVA 400 ML;31/3/2026;9;0,75
IÑAQUITO;141852952;1513238;PARA MI BEBÉ JABON LIQUIDO GLICERINA 500 ML;31/3/2026;12;1,00
IÑAQUITO;28990;1513238;KALIPTO DESINFECTANTE FRESCURA MARINA 2 LT.;31/3/2026;6;1,00
IÑAQUITO;189455067;1513238;TONI LECHE SEMIDESCREMADA TETRAPACK 1000 ML;31/3/2026;12;1,00
IÑAQUITO;108600198;1513238;LA BRUJITA ESCOBA NEON UN;31/3/2026;12;1,00
IÑAQUITO;49807;1513238;ALESOL ACEITE CON ACHIOTE 200 ML.;31/3/2026;30;1,00
IÑAQUITO;29087;1513238;LAVA CREMA LAVAVAJILLA FLORAL MANZANA 450 GR.;31/3/2026;18;1,00
IÑAQUITO;85554;1513238;LAVA BARRA LAVAVAJILLA ARRANCA GRASA 200 GR.;31/3/2026;48;1,00
IÑAQUITO;44331;1513238;MR.MUSCULO ANTIGRASA ACCION NARANJA PISTOLA 500 ML.;31/3/2026;12;1,00
IÑAQUITO;28268;1513238;PULVAPIES DESODORANTE SPRAY PREVENTIVO 200 ML.;31/3/2026;24;1,00
IÑAQUITO;140053024;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG XG 26M X18/4;31/3/2026;8;2,00
IÑAQUITO;31875;1513238;K-CHITOS FIESTA 170 GR;31/3/2026;12;1,00
IÑAQUITO;170102974;1513238;LUSTRE ESPONJA MAGICA X 2;31/3/2026;20;1,00
IÑAQUITO;198504959;1513238;EL SABOR CURCUMA EN POLVO 50GR;31/3/2026;24;1,00
IÑAQUITO;154603226;1513238;VANISH ROSA PACK 900ML+130ML;31/3/2026;6;1,00
IÑAQUITO;193604900;1513238;OREO GALLETA SABOR A VAINILLA ROLLO 135 GR;31/3/2026;30;1,00
IÑAQUITO;123002751;1513238;CICLON DETERGENTE EN POLVO XPOWER FLORAL FUNDA 350GR;31/3/2026;30;1,00
IÑAQUITO;33356;1513238;TIPS PASTILLA BAÑO ANTIBACTERIAL FRUTILLA 90 GR.;31/3/2026;24;1,00
IÑAQUITO;132101567;1513238;AXE PACK DESODORANTE BS ICE CHILL 150ML;31/3/2026;6;1,00
IÑAQUITO;132501501;1513238;NUTRIBELA 10 BIOKERATINA SACHET 70 ML;31/3/2026;14;0,17
